Num_Acc;catv;situ;adr;jour;mois;an;dep;lat;long;hrmn;atm;grav;sexe;an_nais;trajet;age
201900014912;1;1;PLACE CLEMENCEAU;30;12;2019;75;48.867787;2.313851;14:12;1;1;1;1978;0;41
201900014912;1;1;PLACE CLEMENCEAU;30;12;2019;75;48.867787;2.313851;14:12;1;4;1;1970;1;49
201900014913;1;1;RUE DE ROME;30;12;2019;75;48.879483;2.321849;12:27;1;4;1;1988;1;31
201900014913;1;1;RUE DE ROME;30;12;2019;75;48.879483;2.321849;12:27;1;4;1;1993;4;26
201900014914;1;5;BOULEVARD DE BONNE NOUVELLE;30;12;2019;75;48.869685;2.352662;20:30;1;4;1;1995;0;24
201900014914;1;5;BOULEVARD DE BONNE NOUVELLE;30;12;2019;75;48.869685;2.352662;20:30;1;1;2;1978;0;41
201900016477;1;1;RUE CHAMPIONNET;19;11;2019;75;48.895835;2.345836;16:20;1;4;1;1971;9;48
201900016477;1;1;RUE CHAMPIONNET;19;11;2019;75;48.895835;2.345836;16:20;1;1;1;1990;4;29
201900016625;1;5;AVENUE DE FLANDRE;29;12;2019;75;48.884383;2.369195;06:20;1;4;1;2000;0;19
201900016631;1;1;RUE DE VAUGIRARD;29;12;2019;75;48.841487;2.30795;10:15;1;4;2;1949;0;70
201900016631;1;1;RUE DE VAUGIRARD;29;12;2019;75;48.841487;2.30795;10:15;1;1;1;1964;5;55
201900016634;1;1;BOULEVARD DIDEROT;29;12;2019;75;48.846352;2.378079;15:25;1;1;1;1973;1;46
201900016634;1;1;BOULEVARD DIDEROT;29;12;2019;75;48.846352;2.378079;15:25;1;4;1;1987;0;32
201900016737;1;5;RUE DARMESTETER;28;12;2019;75;48.8234;2.375032;17:40;1;4;1;1987;5;32
201900016737;1;5;RUE DARMESTETER;28;12;2019;75;48.8234;2.375032;17:40;1;1;1;1949;0;70
201900016740;1;6;BOULEVARD DE MAGENTA;28;12;2019;75;48.872859;2.359128;00:01;1;1;1;1989;0;30
201900016740;1;6;BOULEVARD DE MAGENTA;28;12;2019;75;48.872859;2.359128;00:01;1;4;1;1988;5;31
201900017111;1;5;ROUTE DES TRIBUNES;12;9;2019;75;48.864037;2.234237;19:45;1;1;1;1994;5;25
201900017111;1;5;ROUTE DES TRIBUNES;12;9;2019;75;48.864037;2.234237;19:45;1;4;1;1984;5;35
201900017118;1;1;AVENUE BOSQUET;12;9;2019;75;48.8598198;2.3028583;09:40;1;4;2;1983;0;36
201900017118;1;1;AVENUE BOSQUET;12;9;2019;75;48.8598198;2.3028583;09:40;1;1;1;1929;0;90
201900017315;1;6;BOULEVARD SAINT MICHEL;14;10;2019;75;48.851393;2.343172;11:25;1;4;1;1998;1;21
201900017322;1;5;BOULEVARD DE MAGENTA;14;10;2019;75;48.8821744;2.3507755;09:10;1;4;2;1980;0;39
201900017322;1;5;BOULEVARD DE MAGENTA;14;10;2019;75;48.8821744;2.3507755;09:10;1;1;1;1990;0;29
201900017412;1;5;BOULEVARD BESSIERES;14;10;2019;75;48.8946862;2.31475;08:35;1;1;1;1993;1;26
201900017412;1;5;BOULEVARD BESSIERES;14;10;2019;75;48.8946862;2.31475;08:35;1;4;2;2012;2;7
201900018287;1;5;BOULEVARD DE STRASBOURG;17;11;2019;75;48.8748112;2.3573878;03:35;1;4;1;1993;9;26
201900018287;1;5;BOULEVARD DE STRASBOURG;17;11;2019;75;48.8748112;2.3573878;03:35;1;1;1;1969;0;50
201900018287;1;5;BOULEVARD DE STRASBOURG;17;11;2019;75;48.8748112;2.3573878;03:35;1;1;1;1988;0;31
